City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,Harrismith,-28.2728,29.1295,47.21,92,0,3.04,ZA,2022-04-14 03:28:44
221,Inverness,57.4791,-4.224,43.99,94,75,2.3,GB,2022-04-14 03:28:45
222,The Valley,18.217,-63.0578,78.1,70,13,21.41,AI,2022-04-14 03:28:45
223,Turukhansk,65.8167,87.9833,32.31,100,100,6.78,RU,2022-04-14 03:28:46
224,Denpasar,-8.65,115.2167,87.46,74,20,5.75,ID,2022-04-14 03:26:04
225,Dongkan,33.9997,119.8308,61.27,63,31,17.76,CN,2022-04-14 03:28:46
226,Blackpool,53.8167,-3.05,46.9,92,95,3.24,GB,2022-04-14 03:28:47
227,Kruisfontein,-34.0033,24.7314,56.88,85,66,8.97,ZA,2022-04-14 03:28:47
228,Castro,-24.7911,-50.0119,60.75,97,37,0.6,BR,2022-04-14 03:28:47
229,Monrovia,6.3005,-10.7969,79.2,87,100,9.22,LR,2022-04-14 03:29:48
230,Yarim,14.298,44.3779,54.61,41,0,4.94,YE,2022-04-14 03:29:48
231,Freeport,40.6576,-73.5832,63.37,75,0,8.05,US,2022-04-14 03:29:49
232,Batangafo,7.3008,18.2833,75.88,75,99,3.36,CF,2022-04-14 03:29:49
233,College,64.8569,-147.8028,44.55,35,40,0.0,US,2022-04-14 03:29:50
234,Kokopo,-4.352,152.2633,85.17,62,68,4.41,PG,2022-04-14 03:29:50
235,Mahebourg,-20.4081,57.7,79.25,83,75,13.8,MU,2022-04-14 03:29:51
236,Busembatia,0.7697,33.6131,64.44,87,56,2.71,UG,2022-04-14 03:29:51
237,Port Hedland,-20.3167,118.5667,95.05,28,5,10.36,AU,2022-04-14 03:29:51
238,Tondano,1.3038,124.9112,80.69,74,100,1.05,ID,2022-04-14 03:29:52
239,Viedma,-40.8135,-62.9967,53.13,63,1,3.96,AR,2022-04-14 03:29:52
240,Hargeysa,9.56,44.065,70.63,54,55,3.65,SO,2022-04-14 03:29:52
241,Cortez,37.3489,-108.5859,35.69,30,0,0.0,US,2022-04-14 03:26:09
242,Hami,42.8,93.45,55.35,16,0,24.32,CN,2022-04-14 03:29:53
243,Georgetown,5.4112,100.3354,89.55,72,20,3.44,MY,2022-04-14 03:26:55
244,Teguldet,57.3064,88.1667,41.38,50,2,6.69,RU,2022-04-14 03:29:54
245,Opuwo,-18.0607,13.84,64.42,70,42,3.91,NA,2022-04-14 03:29:54
246,Touros,-5.1989,-35.4608,78.35,84,27,6.89,BR,2022-04-14 03:29:33
247,Andros Town,24.7,-77.7667,75.16,78,96,18.43,BS,2022-04-14 03:29:54
248,Benguela,-12.5763,13.4055,78.53,78,94,4.61,AO,2022-04-14 03:29:55
249,Kaitangata,-46.2817,169.8464,62.64,55,30,6.51,NZ,2022-04-14 03:29:56
250,Atherton,53.5237,-2.4935,46.42,92,67,2.1,GB,2022-04-14 03:29:56
251,Emirdag,39.0197,31.15,32.94,61,3,2.04,TR,2022-04-14 03:29:56
252,Swift Current,50.2834,-107.8014,18.41,86,100,13.8,CA,2022-04-14 03:29:57
253,Hobyo,5.3505,48.5268,81.34,76,29,9.06,SO,2022-04-14 03:29:57
254,Channel-Port Aux Basques,47.5702,-59.1367,33.89,79,72,9.55,CA,2022-04-14 03:29:58
255,Tautira,-17.7333,-149.15,82.08,73,36,19.69,PF,2022-04-14 03:29:58
256,Olafsvik,64.8945,-23.7142,41.2,88,100,18.32,IS,2022-04-14 03:29:34
257,Samfya,-11.3649,29.5565,63.91,95,75,5.17,ZM,2022-04-14 03:30:00
258,Labis,2.385,103.021,87.15,64,89,4.47,MY,2022-04-14 03:30:00
259,Aykhal,66.0,111.5,25.66,89,94,21.92,RU,2022-04-14 03:30:01
260,Gomel,52.4345,30.9754,38.82,70,0,11.18,BY,2022-04-14 03:30:02
261,Ciudad Bolivar,8.1222,-63.5497,80.11,62,54,15.66,VE,2022-04-14 03:30:03
262,Lorengau,-2.0226,147.2712,85.68,71,100,10.67,PG,2022-04-14 03:30:03
263,Kurilsk,45.2333,147.8833,31.75,70,97,5.55,RU,2022-04-14 03:30:04
264,Cornwall,45.0181,-74.7281,48.85,100,100,9.22,CA,2022-04-14 03:26:50
265,Bonavista,48.6499,-53.1147,31.19,84,100,29.75,CA,2022-04-14 03:30:05
266,Praia Da Vitoria,38.7333,-27.0667,61.05,63,20,5.57,PT,2022-04-14 03:30:06
267,Hay River,60.8156,-115.7999,8.58,61,0,4.61,CA,2022-04-14 03:30:07
268,Ayan,56.45,138.1667,33.24,66,20,6.53,RU,2022-04-14 03:30:07
269,Souillac,-20.5167,57.5167,79.18,83,75,13.8,MU,2022-04-14 03:30:08
270,Ballina,-28.8667,153.5667,75.16,63,40,16.11,AU,2022-04-14 03:30:08
271,Hundested,55.9667,11.8667,48.49,92,100,1.01,DK,2022-04-14 03:30:09
272,Petropavlovsk-Kamchatskiy,53.0452,158.6483,37.99,41,75,17.9,RU,2022-04-14 03:25:37
273,Sayyan,15.1718,44.3244,60.12,45,0,3.31,YE,2022-04-14 03:30:10
274,Meiganga,6.5167,14.3,66.49,95,94,3.47,CM,2022-04-14 03:31:10
275,Kavieng,-2.5744,150.7967,85.33,69,86,11.61,PG,2022-04-14 03:31:11
276,Yulara,-25.2406,130.9889,93.04,16,27,5.75,AU,2022-04-14 03:31:11
277,Nove Mesto Pod Smrkem,50.9249,15.2294,50.68,78,100,5.1,CZ,2022-04-14 03:31:12
278,Linxia,35.6003,103.2064,47.48,59,98,5.68,CN,2022-04-14 03:31:12
279,Pierre,44.3683,-100.351,27.52,58,75,36.82,US,2022-04-14 03:31:12
280,Karratha,-20.7377,116.8463,94.93,21,0,4.52,AU,2022-04-14 03:31:13
281,Aksu,41.1231,80.2644,68.47,14,65,8.28,CN,2022-04-14 03:31:13
282,Wajid,3.8093,43.2471,77.49,79,10,13.35,SO,2022-04-14 03:31:14
283,Puerto Rico,-26.796,-55.024,60.93,96,1,3.83,AR,2022-04-14 03:31:14
284,Mercedes,-34.6515,-59.4307,53.04,63,0,4.88,AR,2022-04-14 03:28:24
285,Saqqez,36.2499,46.2735,45.91,50,12,4.0,IR,2022-04-14 03:31:15
286,Ngunguru,-35.6167,174.5,66.51,49,78,8.28,NZ,2022-04-14 03:31:15
287,Kisangani,0.5167,25.2,69.96,99,100,2.06,CD,2022-04-14 03:31:16
288,Gavle,60.6745,17.1417,38.35,69,100,1.01,SE,2022-04-14 03:31:16
289,Vestmannaeyjar,63.4427,-20.2734,45.99,92,100,35.84,IS,2022-04-14 03:31:16
290,Kelowna,49.8831,-119.4857,42.15,28,20,2.3,CA,2022-04-14 03:30:20
291,Humaita,-7.5061,-63.0208,74.43,97,97,1.28,BR,2022-04-14 03:31:17
292,Atar,20.5169,-13.0499,70.12,31,0,8.03,MR,2022-04-14 03:31:17
293,Kiama,-34.6833,150.8667,74.68,65,2,3.04,AU,2022-04-14 03:27:20
294,Husavik,66.0449,-17.3389,34.48,80,73,13.31,IS,2022-04-14 03:31:18
295,Buala,-8.145,159.5921,85.59,68,26,8.28,SB,2022-04-14 03:31:19
