City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
652,Bodden Town,KY,82.99,clear sky,19.2833,-81.25,
654,Mission,US,87.98,scattered clouds,26.2159,-98.3253,
657,Maragogi,BR,78.21,scattered clouds,-9.0122,-35.2225,
658,Cockburn Town,TC,77.86,scattered clouds,21.4612,-71.1419,
666,Autazes,BR,75.74,scattered clouds,-3.5797,-59.1306,
671,Gao,ML,80.38,scattered clouds,16.6362,1.637,
672,Conde,BR,76.71,broken clouds,-7.2597,-34.9075,
673,Veraval,IN,79.38,clear sky,20.9,70.3667,
678,Hoi An,VN,76.96,broken clouds,15.8794,108.335,
679,Saint-Leu,RE,77.83,clear sky,-21.15,55.2833,
680,Cap Malheureux,MU,78.48,broken clouds,-19.9842,57.6142,
