City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
442,Johor Bahru,MY,80.51,clear sky,1.4655,103.7578,KSL Resort Johor Bahru City Centre
443,Wajir,KE,78.53,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
448,Gigmoto,PH,79.16,scattered clouds,13.7796,124.39,Cj's Travellers Inn
462,Akyab,MM,80.06,few clouds,20.15,92.9,Hotel Memory
465,Atar,MR,86.67,overcast clouds,20.5169,-13.0499,Oumou Elghoura
466,Dosso,NE,87.78,overcast clouds,13.049,3.1937,Hotel Toubal
468,Pennagaram,IN,78.4,scattered clouds,12.1333,77.9,Ranga Lodge
470,Cusuna,HN,80.56,few clouds,15.85,-85.2333,San Francisco de la paz
476,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
487,Polillo,PH,78.94,few clouds,14.7122,121.9392,Jardin's Hotel
488,Sola,VU,82.29,moderate rain,-13.8833,167.55,Leumerus Bungalows
489,Palmerston,AU,82.89,few clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
490,Olinda,BR,83.93,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
491,Devarkonda,IN,84.92,scattered clouds,16.7,78.9333,Devarkonda
499,San Eugenio,PH,78.94,clear sky,16.3598,120.357,Albans Lodging House
506,Angoche,MZ,76.8,clear sky,-16.2325,39.9086,Guest House HESADA
510,The Valley,AI,80.46,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
522,Lazaro Cardenas,MX,82.09,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
525,Gulbarga,IN,86.49,scattered clouds,17.3333,76.8333,OYO 37176 N K Comforts
527,Meadow Lake,US,81.73,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
534,Beruwala,LK,80.28,overcast clouds,6.4788,79.9828,The Palms Hotel
540,Gizo,SB,81.66,overcast clouds,-8.103,156.8419,Imagination Island
542,Chandil,IN,81.59,clear sky,22.9667,86.05,Sagun Hembram
544,Puerto Escondido,MX,85.98,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
555,Vilhena,BR,77.22,clear sky,-12.7406,-60.1458,Hotel Mirage
562,Salalah,OM,77.41,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
568,Acapulco,MX,84.79,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
572,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
574,Karaton,ID,75.13,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
578,Morant Bay,JM,80.71,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
580,Waraseoni,IN,86.18,broken clouds,21.75,80.0333,Thakre Bhavan
582,Jaten,ID,76.66,overcast clouds,-7.5772,110.8975,Loh Agung 6 B10
585,Pangai,TO,81.3,light rain,-19.8,-174.35,Ha'apai Beach Resort
591,Nabire,ID,79.56,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
596,Manggar,ID,78.4,overcast clouds,-2.8833,108.2667,Guest Hotel
603,Moerai,PF,78.82,overcast clouds,-22.4333,-151.3333,Le Manotel
605,Cam Ranh,VN,75.16,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
608,Dera Ghazi Khan,PK,83.07,clear sky,30.0561,70.6348,Hamlani Khosa Chowk
609,Puerto Santander,CO,76.59,overcast clouds,8.3636,-72.4063,Hotel Toronto
612,Petlawad,IN,79.93,clear sky,23.0,74.8,KBISTHN MUSLIM SAMAJ
615,Bathsheba,BB,78.69,overcast clouds,13.2167,-59.5167,Atlantis Hotel
617,Quatre Cocos,MU,78.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
620,Daru,PG,77.22,overcast clouds,-9.0763,143.2092,Daru Lodge
623,Road Town,VG,78.64,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
632,Alyangula,AU,82.65,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
635,Namatanai,PG,84.6,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
647,Aden,YE,82.02,few clouds,12.7794,45.0367,Sama Emirate Hotel
649,Largo,US,82.38,clear sky,27.9095,-82.7873,Hampton Inn & Suites Largo
652,Bodden Town,KY,82.99,clear sky,19.2833,-81.25,Will T Place
654,Mission,US,87.98,scattered clouds,26.2159,-98.3253,"Holiday Inn Express & Suites Mission-McAllen Area, an IHG Hotel"
657,Maragogi,BR,78.21,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
658,Cockburn Town,TC,77.86,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
666,Autazes,BR,75.74,scattered clouds,-3.5797,-59.1306,Hotel Tupinambá
672,Conde,BR,76.71,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
673,Veraval,IN,79.38,clear sky,20.9,70.3667,Lords Inn Somnath
678,Hoi An,VN,76.96,broken clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
679,Saint-Leu,RE,77.83,clear sky,-21.15,55.2833,La Caz Oceane
680,Cap Malheureux,MU,78.48,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
