City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
175,Dogondoutchi,NE,13.6393,4.0287,86.65,28,33,8.32,scattered clouds
176,Slobidka,UA,47.8869,29.3461,39.06,93,100,8.95,overcast clouds
177,Baijiantan,CN,45.6333,85.1833,61.65,16,100,5.91,overcast clouds
178,Hami,CN,42.8,93.45,66.63,9,46,9.84,scattered clouds
179,Saint-Philippe,RE,-21.3585,55.7679,74.79,84,65,4.18,broken clouds
180,Mabaruma,GY,8.2,-59.7833,74.21,92,45,4.41,scattered clouds
181,Chernyshevskiy,RU,63.0128,112.4714,23.11,87,100,7.56,light snow
182,Talnakh,RU,69.4865,88.3972,16.21,81,37,4.18,scattered clouds
183,Wabana,CA,47.6332,-52.9481,39.56,96,100,16.11,shower rain
184,Georgetown,MY,5.4112,100.3354,87.73,73,20,5.75,haze
185,Malindi,KE,-3.2175,40.1191,77.43,87,100,8.21,moderate rain
186,Sarmizegetusa,RO,45.5167,22.7833,34.2,91,71,4.38,broken clouds
187,Bonavista,CA,48.6499,-53.1147,36.23,92,100,13.91,light rain
188,Cayenne,GF,4.9333,-52.3333,80.1,1,75,0.0,broken clouds
189,Jucuaran,SV,13.2539,-88.2478,77.5,78,1,2.48,clear sky
190,Bambous Virieux,MU,-20.3428,57.7575,77.22,94,40,3.44,scattered clouds
191,Kahului,US,20.8947,-156.47,80.62,68,40,24.16,scattered clouds
192,Husavik,IS,66.0449,-17.3389,41.32,90,97,10.18,overcast clouds
193,Tateyama,JP,34.9833,139.8667,63.12,70,100,2.93,overcast clouds
194,Ayagoz,KZ,47.9714,80.4392,56.44,34,84,9.91,broken clouds
195,Oistins,BB,13.0667,-59.5333,78.89,73,40,16.11,scattered clouds
196,Bodden Town,KY,19.2833,-81.25,80.92,79,20,12.66,few clouds
197,Honningsvag,NO,70.9821,25.9704,44.35,70,100,12.66,overcast clouds
198,Santo Antonio Do Ica,BR,-3.1022,-67.9397,72.77,99,100,1.81,heavy intensity rain
199,Cherskiy,RU,68.75,161.3,29.48,81,64,1.34,broken clouds
200,Xingcheng,CN,40.6167,120.7167,58.89,64,85,22.06,overcast clouds
201,Bemidji,US,47.4736,-94.8803,35.06,99,100,6.91,mist
202,Palmer,US,42.1584,-72.3287,42.93,75,20,0.0,few clouds
203,Sangar,RU,63.9242,127.4739,27.86,83,100,5.3,light snow
204,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,69,64,5.73,broken clouds
205,Zhanaozen,KZ,43.3,52.8,62.89,48,83,4.21,broken clouds
206,San Quintin,MX,30.4833,-115.95,59.49,82,0,18.37,clear sky
207,Ambulu,ID,-8.345,113.6058,84.49,67,65,1.25,broken clouds
208,Choix,MX,26.7092,-108.3219,78.66,30,65,2.35,broken clouds
